"zip","city","state","lat","long","count","spending"
"79922","El Paso","new mexico",31.789109,-106.54291,14,28147.35
"87001","Algodones","new mexico",35.388701,-106.42793,48,1144355
"87002","Belen","new mexico",34.646779,-106.7648,3923,15454172.87
"87004","Bernalillo","new mexico",35.32151,-106.55322,1998,9451030.08
"87005","Bluewater","new mexico",35.20912,-108.07182,3,710
"87006","Bosque","new mexico",34.511223,-106.80927,68,401769.88
"87007","Casa Blanca","new mexico",35.047954,-107.45148,5,1150
"87008","Cedar Crest","new mexico",35.136495,-106.37296,260,3981992.88
"87010","Cerrillos","new mexico",35.409522,-106.15202,33,50910.74
"87013","Cuba","new mexico",35.869051,-107.40227,208,683010.57
"87014","Cubero","new mexico",35.166618,-107.5052,50,73042.27
"87015","Edgewood","new mexico",35.075777,-106.19155,568,2872548.82
"87016","Estancia","new mexico",34.775863,-106.12269,171,1575849.36
"87017","Gallina","new mexico",36.187444,-106.76581,59,9379420.34
"87020","Grants","new mexico",35.122129,-107.90777,3883,9306360.74
"87021","Milan","new mexico",35.192539,-107.893691,1930,3911116.98
"87022","Isleta","new mexico",34.906197,-106.69301,54,243591.07
"87023","Jarales","new mexico",34.598268,-106.7592,160,196689.31
"87024","Jemez Pueblo","new mexico",35.624111,-106.73752,105,1187405.09
"87025","Jemez Springs","new mexico",35.822802,-106.62093,106,625104.66
"87026","Laguna","new mexico",34.999815,-107.24109,80,998001.89
"87028","La Joya","new mexico",34.34886,-106.8053,87,82384.06
"87029","Lindrith","new mexico",36.343007,-107.09858,7,14421.53
"87031","Los Lunas","new mexico",34.786133,-106.70536,2326,192344585.58
"87032","McIntosh","new mexico",34.862981,-106.01328,20,126847.44
"87034","Pueblo Of Acoma","new mexico",34.900203,-107.65365,26,64848.18
"87035","Moriarty","new mexico",35.001195,-105.99524,958,5169568.24
"87036","Mountainair","new mexico",34.500604,-106.27612,1537,4539253.87
"87038","New Laguna","new mexico",35.05463,-107.44137,18,231178.4
"87040","Paguate","new mexico",35.132004,-107.36564,4,7425
"87041","Pena Blanca","new mexico",35.584234,-106.32728,9,485859.5
"87042","Peralta","new mexico",34.83436,-106.68375,682,2883660.01
"87043","Placitas","new mexico",35.303843,-106.44361,256,11252681.58
"87044","Ponderosa","new mexico",35.700027,-106.65317,61,76197.37
"87045","Prewitt","new mexico",35.408295,-107.98853,386,213056.97
"87047","Sandia Park","new mexico",35.179121,-106.28742,142,2917362.33
"87048","Corrales","new mexico",35.229614,-106.62141,447,4273191.41
"87049","San Fidel","new mexico",35.087772,-107.63451,16,75679.49
"87051","San Rafael","new mexico",35.15105,-107.87701,19,2570.45
"87052","Santo Domingo Pueblo","new mexico",35.509184,-106.35022,35,239177.6
"87053","San Ysidro","new mexico",35.527064,-106.80866,14,48967.7
"87056","Stanley","new mexico",35.230514,-105.91598,32,118588.42
"87059","Tijeras","new mexico",35.017604,-106.31044,285,1362074.42
"87060","Tome","new mexico",34.740708,-106.73362,22,504141.91
"87061","Torreon","new mexico",34.783472,-106.36553,4,1900
"87062","Veguita","new mexico",34.460462,-106.71879,16,13592.28
"87064","Youngsville","new mexico",36.111907,-106.54779,2,125
"87068","Bosque Farms","new mexico",34.864034,-106.6895,314,4819143.75
"87070","Clines Corners","new mexico",35.00993,-105.97201,1,14062.5
"87072","Cochiti Pueblo","new mexico",35.612925,-106.34845,18,190089.24
"87083","Cochiti Lake","new mexico",35.648976,-106.33885,13,44271.58
"87101","Albuquerque","new mexico",35.199592,-106.644831,4,2145.66
"87102","Albuquerque","new mexico",35.083946,-106.64792,10848,148710947.52
"87103","Albuquerque","new mexico",35.044339,-106.672872,5754,14736211.11
"87104","Albuquerque","new mexico",35.101727,-106.67238,10281,19612561.09
"87105","Albuquerque","new mexico",35.031329,-106.68695,12668,146725140.16
"87106","Albuquerque","new mexico",35.078246,-106.61747,2688,47867469.09
"87107","Albuquerque","new mexico",35.134094,-106.64073,37876,334982549.66
"87108","Albuquerque","new mexico",35.073343,-106.58232,3513,33509488.69
"87109","Albuquerque","new mexico",35.155811,-106.56662,261634,286857689.39
"87110","Albuquerque","new mexico",35.106396,-106.57927,18265,190210130.68
"87111","Albuquerque","new mexico",35.135303,-106.52223,5092,26475011.44
"87112","Albuquerque","new mexico",35.100796,-106.52067,4307,16551656.01
"87113","Albuquerque","new mexico",35.179635,-106.59384,28891,490538691.8
"87114","Albuquerque","new mexico",35.196446,-106.67336,3610,34734873.12
"87116","Albuquerque","new mexico",35.053147,-106.55102,6,710
"87117","Kirtland AFB","new mexico",35.056747,-106.571978,19,104346.06
"87119","Albuquerque","new mexico",35.044339,-106.672872,2657,62124287.03
"87120","Albuquerque","new mexico",35.146144,-106.70851,2210,10438370.98
"87121","Albuquerque","new mexico",35.051247,-106.74258,5782,17202737.53
"87122","Albuquerque","new mexico",35.18076,-106.52021,693,6993815.4
"87123","Albuquerque","new mexico",35.067447,-106.50645,4070,87598936.48
"87124","Rio Rancho","new mexico",35.290647,-106.71469,2205,20697450.2
"87125","Albuquerque","new mexico",35.044339,-106.672872,6132,192445799.69
"87131","Albuquerque","new mexico",35.044339,-106.672872,3782,171713971.34
"87140","Albuquerque","new mexico",35.044339,-106.672872,5,16371.57
"87144","Rio Rancho","new mexico",35.295331,-106.645081,5295,38239424.67
"87153","Albuquerque","new mexico",35.044339,-106.672872,129,1547124.32
"87154","Albuquerque","new mexico",35.044339,-106.672872,469,1928832.64
"87174","Rio Rancho","new mexico",35.044339,-106.672872,1083,3189061.75
"87176","Albuquerque","new mexico",35.044339,-106.672872,997,18899861.48
"87181","Albuquerque","new mexico",35.044339,-106.672872,96,921719.42
"87184","Albuquerque","new mexico",35.044339,-106.672872,488,4729488.56
"87185","Albuquerque","new mexico",35.044339,-106.672872,9,342901.76
"87187","Albuquerque","new mexico",35.044339,-106.672872,70,1229715.02
"87190","Albuquerque","new mexico",35.044339,-106.672872,4646,32608620.83
"87191","Albuquerque","new mexico",35.044339,-106.672872,3004,6787102.5
"87192","Albuquerque","new mexico",35.044339,-106.672872,155,708319.59
"87193","Albuquerque","new mexico",35.044339,-106.672872,2163,30915544.48
"87194","Albuquerque","new mexico",35.044339,-106.672872,393,3317689.38
"87195","Albuquerque","new mexico",35.044339,-106.672872,1324,3704589.19
"87196","Albuquerque","new mexico",35.044339,-106.672872,278,857837.43
"87197","Albuquerque","new mexico",35.108573,-106.243911,2359,17401185.95
"87198","Albuquerque","new mexico",35.044339,-106.672872,615,11951402.39
"87199","Albuquerque","new mexico",35.044339,-106.672872,9516,17475923.97
"87201","Albuquerque","new mexico",35.044339,-106.672872,10,84176.78
"87301","Gallup","new mexico",35.534253,-108.84857,1772,15182684.2
"87305","Gallup","new mexico",35.376892,-108.78661,561,17037669.58
"87310","Brimhall","new mexico",35.766353,-108.57046,1,350
"87311","Church Rock","new mexico",35.598798,-108.51792,2,45
"87312","Continental Divide","new mexico",35.442033,-108.32473,1,530.55
"87313","Crownpoint","new mexico",35.761481,-108.10225,9,2012
"87315","Fence Lake","new mexico",34.737855,-108.61359,24,538211.95
"87317","Gamerco","new mexico",35.597972,-108.76657,225,5674164.73
"87319","Mentmore","new mexico",35.486269,-108.90414,6,5302.5
"87321","Ramah","new mexico",34.999427,-108.41304,40,1898339.36
"87322","Rehoboth","new mexico",35.533134,-108.65253,22,935222.6
"87323","Thoreau","new mexico",35.495133,-108.19993,47,525408.73
"87325","Tohatchi","new mexico",36.002113,-108.6655,13,68302.71
"87326","Vanderwagen","new mexico",35.295558,-108.81277,20,13275
"87327","Zuni","new mexico",35.06947,-108.72493,102,1839797.02
"87347","Jamestown","new mexico",35.453355,-108.45374,1,1600
"87357","Pinehill","new mexico",34.888629,-108.27933,8,67809.58
"87375","Yatahey","new mexico",35.680001,-108.79265,55,816349.42
"87401","Farmington","new mexico",36.625357,-108.19225,4330,24816230.64
"87402","Farmington","new mexico",36.785816,-108.14505,1222,11371190.75
"87410","Aztec","new mexico",36.837421,-107.96667,576,9863393.48
"87412","Blanco","new mexico",36.681819,-107.48121,1,4990.06
"87413","Bloomfield","new mexico",36.579374,-107.87907,204,2284229.46
"87415","Flora Vista","new mexico",36.813748,-108.09508,37,108188.65
"87416","Fruitland","new mexico",36.654783,-108.45001,52,22952.96
"87417","Kirtland","new mexico",36.763088,-108.3674,407,4635221.43
"87418","La Plata","new mexico",36.927309,-108.15934,23,43576.66
"87419","Navajo Dam","new mexico",36.901026,-107.52505,44,40664.28
"87420","Shiprock","new mexico",36.748026,-108.80023,166,10941289.51
"87421","Waterflow","new mexico",36.877607,-108.62606,7,205480.1
"87499","Farmington","new mexico",36.774472,-108.06925,1033,6876606.43
"87501","Santa Fe","new mexico",35.755312,-105.99936,12047,248264001.1
"87502","Santa Fe","new mexico",35.439937,-106.123698,25501,62992556.29
"87503","Santa Fe","new mexico",35.521181,-105.981847,158,2031307.08
"87504","Santa Fe","new mexico",35.893597,-106.007499,3206,31254317.64
"87505","Santa Fe","new mexico",35.616662,-105.97926,29272,76525336.37
"87506","Santa Fe","new mexico",35.606283,-106.075722,978,5009674.82
"87507","Santa Fe","new mexico",35.615216,-105.952788,26479,69357559.37
"87508","Santa Fe","new mexico",35.469938,-105.754453,2562,16069174.52
"87509","Santa Fe","new mexico",35.521181,-105.981847,67,19255.89
"87510","Abiquiu","new mexico",36.2996,-106.40596,24,34963.44
"87511","Alcalde","new mexico",36.097705,-106.04254,46,113392.2
"87513","Arroyo Hondo","new mexico",36.534541,-105.67244,52,95449.46
"87514","Arroyo Seco","new mexico",36.546104,-105.50586,94,408277.71
"87515","Canjilon","new mexico",36.476265,-106.40996,7,15850
"87520","Chama","new mexico",36.874229,-106.55118,366,976587.58
"87521","Chamisal","new mexico",36.126615,-105.74651,2,7671.5
"87522","Chimayo","new mexico",35.997094,-105.94533,29,77560.2
"87524","Costilla","new mexico",36.959631,-105.5809,7,15210.99
"87525","Taos Ski Valley","new mexico",36.575944,-105.50602,12,73974.74
"87527","Dixon","new mexico",36.1566,-105.84161,34,206500.78
"87528","Dulce","new mexico",36.818905,-106.9757,120,1167189.01
"87529","El Prado","new mexico",36.468402,-105.60547,674,15037024.24
"87530","El Rito","new mexico",36.387967,-106.23407,58,5032651.22
"87531","Embudo","new mexico",36.248813,-105.87995,19,820022.01
"87532","Espanola","new mexico",35.990548,-106.08036,2603,26873804.28
"87533","Espanola","new mexico",36.618928,-106.75512,61,57482.6
"87535","Glorieta","new mexico",35.759271,-105.74841,25,26007.71
"87537","Hernandez","new mexico",36.094021,-106.17472,9,64704.11
